ID,TP_ESCOLA,ESTADO_CIVIL,NOTA_FINAL
1,Pública,Casado,605.4361825128129
2,Pública,Solteiro,609.3863308275274
3,Pública,Solteiro,757.5980658376824
4,Pública,Solteiro,795.2365530555567
5,Pública,Casado,580.8047479137516
6,Pública,Casado,612.9495827035955
7,Pública,Solteiro,411.37092842476943
8,Pública,Solteiro,568.8301319179131
9,Pública,Divorciado,613.9379703630617
10,Privada,Solteiro,492.07493714253604
11,Pública,Solteiro,790.355346152352
12,Pública,Casado,760.8472981199096
13,Pública,Solteiro,532.3995309390253
14,Pública,Solteiro,671.4307399316427
15,Pública,Solteiro,442.76480849252636
16,Privada,Solteiro,489.5306118348463
17,Pública,Solteiro,394.6160165030508
18,Pública,Viúvo,266.6971433466162
19,Pública,Solteiro,520.2456503298315
20,Privada,Casado,503.2637399063163
21,Pública,Solteiro,581.5271279708448
22,Pública,Solteiro,510.9199810257708
23,Pública,Solteiro,814.0182774917014
24,Pública,Casado,553.9896625569595
25,Pública,Solteiro,568.939198863142
26,Pública,Casado,480.70410352168494
27,Pública,Solteiro,550.9541327264595
28,Privada,Casado,520.382910041438
29,Privada,Casado,604.8014137648429
30,Pública,Solteiro,317.174858345958
31,Pública,Solteiro,792.1725209798946
32,Pública,Solteiro,364.842146353301
33,Privada,Solteiro,566.2548560313289
34,Privada,Solteiro,651.2988464328024
35,Pública,Casado,536.2030303767708
36,Pública,Solteiro,718.212543575384
37,Pública,Solteiro,634.3473673250209
38,Pública,Casado,487.6381435024232
39,Pública,Solteiro,586.2089965433706
40,Privada,Solteiro,628.8932078417487
41,Pública,Casado,395.24274592817727
42,Pública,Solteiro,659.7917186578418
43,Pública,Solteiro,470.8115979358068
44,Pública,Solteiro,496.7312393045015
45,Pública,Solteiro,600.2627144448483
46,Pública,Casado,459.0657969630025
47,Privada,Solteiro,704.9098478770104
48,Pública,Solteiro,622.7963627416995
49,Pública,Solteiro,339.71397722720417
50,Pública,Divorciado,522.01068609409
51,Pública,Solteiro,568.8891447426004
52,Pública,Solteiro,682.3816046456919
53,Pública,Solteiro,375.3777798804832
54,Pública,Solteiro,594.005061033463
55,Pública,Casado,495.1137422133521
56,Pública,Solteiro,731.7398672728576
57,Pública,Solteiro,652.4790321291414
58,Pública,Casado,639.6970989061326
59,Pública,Solteiro,560.2348278219969
60,Pública,Casado,471.27189178463755
61,Pública,Solteiro,550.962381375329
62,Privada,Solteiro,595.3175773827581
63,Pública,Solteiro,526.0752550128616
64,Privada,Solteiro,465.13809848751055
65,Pública,Solteiro,612.8918483461383
66,Pública,Casado,493.96783949713637
67,Pública,Solteiro,664.9205143518698
68,Pública,Solteiro,421.77906883174614
69,Privada,Viúvo,630.9920735675837
70,Pública,Solteiro,363.66884622453443
71,Pública,Divorciado,630.8833131262535
72,Pública,Solteiro,644.5062948075486
73,Privada,Solteiro,380.8085877268636
74,Pública,Divorciado,384.63755198495403
75,Pública,Casado,709.0299817028653
76,Pública,Solteiro,504.2574548384055
77,Pública,Solteiro,745.4933994118404
78,Pública,Solteiro,553.9306145765378
79,Privada,Solteiro,365.63255376769825
80,Pública,Solteiro,688.1094630141239
81,Privada,Solteiro,446.9815401637669
82,Pública,Divorciado,520.8124409671233
83,Privada,Solteiro,434.5615691846488
84,Pública,Solteiro,420.0556016343345
85,Pública,Casado,365.7218563498456
86,Pública,Solteiro,391.4096591033565
87,Pública,Solteiro,554.4878304570652
88,Pública,Solteiro,613.5652025553792
89,Privada,Solteiro,429.3740729539928
90,Pública,Divorciado,701.5590472353109
91,Pública,Solteiro,591.766286245949
92,Pública,Solteiro,762.8465549209254
93,Pública,Casado,579.8483975270259
94,Privada,Solteiro,626.7162602928469
95,Privada,Solteiro,433.7175072852849
96,Pública,Solteiro,410.6698829226109
97,Pública,Solteiro,480.4389621607912
98,Pública,Solteiro,612.3330140942593
99,Pública,Casado,754.0299472634108
100,Pública,Solteiro,749.6595969984769
101,Pública,Solteiro,562.7281743177407
102,Pública,Solteiro,704.8754049428882
103,Pública,Solteiro,599.1969254411223
104,Pública,Solteiro,619.3669155652078
105,Pública,Solteiro,705.4926920225773
106,Pública,Solteiro,368.65565118027246
107,Pública,Casado,573.84626120999
108,Pública,Solteiro,436.72846895893593
109,Privada,Solteiro,690.2959870027936
110,Pública,Solteiro,719.8311951247904
111,Pública,Solteiro,536.8793607789632
112,Pública,Solteiro,391.6325888567878
113,Pública,Solteiro,412.10998278031644
114,Pública,Solteiro,493.26124427317313
115,Pública,Solteiro,521.6457099368482
116,Pública,Solteiro,487.0499590828321
117,Pública,Solteiro,553.5395271486738
118,Pública,Solteiro,533.8278079706604
119,Pública,Solteiro,648.9770698702035
120,Pública,Solteiro,471.58606613069287
121,Pública,Solteiro,588.2958417702296
122,Privada,Solteiro,523.4949602998634
123,Pública,Casado,484.139470677589
124,Pública,Solteiro,598.6272945922728
125,Pública,Solteiro,605.1540530936745
126,Pública,Solteiro,661.9580185143102
127,Privada,Solteiro,363.54567022767776
128,Pública,Divorciado,540.0986227735415
129,Pública,Solteiro,603.8480692058474
130,Pública,Solteiro,580.9066442861457
131,Pública,Solteiro,456.14753368282953
132,Pública,Solteiro,632.9780993076774
133,Pública,Solteiro,605.0501635123327
134,Pública,Divorciado,540.4478563108247
135,Privada,Casado,368.93996170745515
136,Pública,Solteiro,222.4265830503034
137,Pública,Solteiro,405.1357758121461
138,Pública,Solteiro,417.79911823762484
139,Pública,Solteiro,541.4629280165898
140,Pública,Casado,707.1985646614502
141,Pública,Solteiro,602.8535102002189
142,Pública,Divorciado,803.5446970166879
143,Pública,Solteiro,913.6938348072524
144,Pública,Casado,591.5067077978898
145,Pública,Solteiro,478.16347946717997
146,Pública,Solteiro,523.677175641667
147,Pública,Solteiro,544.9732173660052
148,Pública,Divorciado,287.61635895047687
149,Pública,Solteiro,648.2996870276918
150,Pública,Solteiro,604.5837685370527
151,Privada,Divorciado,667.7760556294418
152,Pública,Solteiro,698.9527521874952
153,Pública,Solteiro,384.99564814095896
154,Pública,Solteiro,557.8648068058831
155,Privada,Solteiro,506.9539385262478
156,Pública,Divorciado,556.1591406226066
157,Pública,Divorciado,532.2762362211454
158,Pública,Solteiro,427.5244593113589
159,Pública,Casado,559.3468589375333
160,Pública,Casado,490.3836407129895
161,Pública,Casado,460.0907748407697
162,Pública,Divorciado,596.3615533449213
163,Pública,Solteiro,374.7161529469075
164,Pública,Solteiro,246.61086422017615
165,Pública,Casado,850.2770358782182
166,Pública,Solteiro,470.061970106503
167,Pública,Casado,512.9348355252163
168,Pública,Divorciado,634.2202137965228
169,Pública,Casado,420.53084852227823
170,Pública,Solteiro,567.1231689202813
171,Privada,Solteiro,613.3510075060242
172,Pública,Solteiro,436.858302088159
173,Pública,Solteiro,682.3648790344207
174,Pública,Solteiro,341.1055321292806
175,Pública,Casado,550.7145225007419
176,Pública,Casado,548.227059795388
177,Privada,Casado,482.57604446481497
178,Pública,Solteiro,523.6503985889486
179,Pública,Divorciado,599.512138767773
180,Pública,Viúvo,553.1843332527889
181,Pública,Solteiro,760.9724686318702
182,Pública,Divorciado,622.2446003845353
183,Privada,Solteiro,482.84792696278146
184,Pública,Casado,690.6134434942745
185,Pública,Solteiro,543.282465019066
186,Pública,Casado,553.8194685742218
187,Pública,Solteiro,397.1595283924331
188,Pública,Viúvo,565.6905994071678
189,Pública,Solteiro,617.386621015787
190,Pública,Solteiro,595.9624047793535
191,Pública,Casado,552.2341424891683
192,Pública,Solteiro,624.6669250179443
193,Privada,Solteiro,504.22149388331326
194,Pública,Solteiro,689.1475314020239
195,Privada,Solteiro,538.7111071623469
196,Pública,Solteiro,327.8652189095095
197,Privada,Solteiro,611.962382996075
198,Pública,Solteiro,659.6975018854587
199,Pública,Casado,509.16902855159776
200,Pública,Divorciado,638.3741880494113
201,Pública,Solteiro,481.6645859042785
202,Pública,Casado,615.0279670445304
203,Pública,Solteiro,529.802289283409
204,Pública,Solteiro,609.4378451358639
205,Pública,Casado,413.8729994781388
206,Pública,Solteiro,562.0437855514302
207,Pública,Solteiro,607.920703037378
208,Pública,Solteiro,550.0573142852585
209,Pública,Casado,680.6548268648631
210,Pública,Solteiro,387.41860881838727
211,Privada,Divorciado,648.5664149287629
212,Pública,Divorciado,637.478113534487
213,Pública,Solteiro,591.5994038989547
214,Pública,Solteiro,751.1428983466889
215,Pública,Solteiro,577.9403325082342
216,Pública,Casado,391.2370069228847
217,Pública,Solteiro,494.2308329353891
218,Pública,Solteiro,505.95117180740954
219,Pública,Casado,764.5337123605561
220,Pública,Solteiro,661.8042650657189
221,Pública,Solteiro,509.7804945011676
222,Pública,Solteiro,710.9078158027344
223,Pública,Solteiro,333.5596043670315
224,Pública,Solteiro,571.1269607908108
225,Pública,Divorciado,506.6492982257199
226,Pública,Solteiro,536.855886250587
227,Pública,Solteiro,360.55172223249144
228,Pública,Solteiro,417.891419746917
229,Pública,Casado,488.0651335182839
230,Pública,Solteiro,495.41168534735516
231,Privada,Casado,418.50709823513716
232,Pública,Divorciado,546.2467347108136
233,Pública,Solteiro,476.54091468006504
234,Pública,Casado,529.3724647890773
235,Privada,Casado,631.0179246684625
236,Pública,Solteiro,589.2341002188814
237,Privada,Solteiro,461.0048728394535
238,Pública,Solteiro,345.4338540213282
239,Pública,Solteiro,621.8835117773089
240,Pública,Solteiro,606.349021896113
241,Pública,Casado,589.5326231245746
242,Pública,Casado,579.7325399059952
243,Pública,Solteiro,464.5326063954806
244,Pública,Solteiro,603.4037917276738
245,Pública,Divorciado,580.1120187558075
246,Pública,Solteiro,473.6865398308125
247,Pública,Solteiro,745.7584954158814
248,Pública,Divorciado,711.9146809988979
249,Pública,Casado,606.5506941472349
250,Pública,Solteiro,709.612678397933
251,Privada,Solteiro,621.1648096539049
252,Pública,Divorciado,633.5792439800573
253,Pública,Solteiro,490.9346601627738
254,Pública,Solteiro,591.526049976876
255,Pública,Solteiro,678.2291723469837
256,Pública,Casado,366.91110709381627
257,Pública,Solteiro,555.2924633177271
258,Pública,Casado,463.9534958792025
259,Pública,Viúvo,500.7499238448754
260,Pública,Solteiro,464.9005209809704
261,Pública,Casado,565.1214861238504
262,Pública,Casado,391.8422840744967
263,Pública,Divorciado,546.8164725026899
264,Pública,Solteiro,547.3442941957819
265,Privada,Solteiro,543.3293664265574
266,Pública,Solteiro,557.2401513475113
267,Pública,Divorciado,441.52260604092515
268,Pública,Casado,577.7504526367818
269,Pública,Solteiro,682.3987756717639
270,Pública,Solteiro,332.1909391290194
271,Privada,Casado,450.7739763305227
272,Pública,Divorciado,400.6005567170316
273,Pública,Solteiro,477.92857464340904
274,Pública,Solteiro,706.9136126492931
275,Pública,Divorciado,460.68590375404517
276,Pública,Casado,296.4831668041805
277,Pública,Casado,572.3759068292446
278,Pública,Solteiro,478.1011819816107
279,Pública,Viúvo,670.2810093141243
280,Pública,Casado,503.78807897843944
281,Pública,Casado,480.7353439996219
282,Privada,Casado,716.2688431000641
283,Pública,Solteiro,730.0378408480777
284,Pública,Solteiro,764.5690534254163
285,Pública,Casado,496.17700446110166
286,Pública,Solteiro,507.98031919914627
287,Pública,Solteiro,697.0062270471376
288,Pública,Solteiro,487.06792753255974
289,Pública,Casado,413.640851302373
290,Privada,Solteiro,594.2098471465014
291,Pública,Solteiro,511.8342983605579
292,Pública,Solteiro,645.4849585522444
293,Pública,Solteiro,351.5157764753841
294,Pública,Casado,610.415243455114
295,Pública,Solteiro,557.8699372480144
296,Pública,Casado,517.2876842701713
297,Pública,Solteiro,727.6280007704786
298,Pública,Solteiro,784.6239618058241
299,Privada,Solteiro,578.5188054349218
300,Pública,Divorciado,896.7289812305642
301,Pública,Solteiro,708.956335491512
302,Pública,Solteiro,518.7919429659264
303,Privada,Solteiro,577.7921985635732
304,Pública,Solteiro,718.2323593542595
305,Pública,Solteiro,663.7990836780225
306,Pública,Solteiro,554.8440779769747
307,Pública,Solteiro,547.7861249765866
308,Pública,Casado,724.887455715358
309,Pública,Solteiro,342.3418751955606
310,Pública,Solteiro,476.5145310808303
311,Pública,Casado,466.4355734459622
312,Pública,Solteiro,412.60876424206333
313,Pública,Solteiro,351.7202963205708
314,Pública,Solteiro,388.34583154975496
315,Privada,Solteiro,309.8523491203376
316,Pública,Solteiro,555.091051751123
317,Privada,Casado,456.54636826580116
318,Pública,Solteiro,505.8056245859031
319,Pública,Solteiro,371.45251725031204
320,Pública,Solteiro,492.6468619165228
321,Pública,Casado,610.3429381510135
322,Pública,Casado,534.2576306954347
323,Pública,Solteiro,620.8056922110839
324,Pública,Solteiro,614.9146490245288
325,Pública,Solteiro,469.3789256601066
326,Pública,Casado,489.65116331863567
327,Pública,Solteiro,542.6226306051764
328,Pública,Solteiro,714.1804971202617
329,Pública,Solteiro,490.51853671000947
330,Pública,Solteiro,557.042992370364
331,Privada,Solteiro,429.717988028806
332,Privada,Solteiro,601.9341606505137
333,Pública,Solteiro,410.6399212550225
334,Pública,Solteiro,548.4822462024584
335,Pública,Solteiro,556.7407136623035
336,Pública,Solteiro,616.083357107035
337,Pública,Solteiro,676.5425285660265
338,Pública,Solteiro,829.5679359645785
339,Pública,Solteiro,426.957756481826
340,Pública,Casado,552.5646925321156
341,Pública,Solteiro,405.7188173673669
342,Pública,Solteiro,646.5903237691703
343,Pública,Viúvo,604.304235973475
344,Pública,Casado,709.9769738053405
345,Pública,Casado,561.7442287744067
346,Pública,Solteiro,606.2667996909239
347,Pública,Solteiro,628.9095132526098
348,Pública,Solteiro,769.1861785802937
349,Privada,Solteiro,493.4367948996167
350,Pública,Divorciado,410.50030273786723
351,Privada,Solteiro,410.3057427384558
352,Pública,Casado,534.4098884743247
353,Pública,Casado,803.8529906358425
354,Pública,Casado,552.9618168659966
355,Pública,Solteiro,581.8240397782505
356,Pública,Divorciado,477.63853120615863
357,Pública,Viúvo,607.0702026730295
358,Pública,Solteiro,388.2094643535981
359,Pública,Solteiro,447.84551228106625
360,Pública,Solteiro,735.0579460401323
361,Pública,Casado,465.7957067077115
362,Pública,Solteiro,392.98160081154276
363,Privada,Casado,499.51722455539056
364,Pública,Solteiro,570.327568993381
365,Pública,Casado,623.2108019798069
366,Pública,Solteiro,667.9628155326518
367,Pública,Casado,591.4621251465239
368,Pública,Solteiro,567.7493099120038
