ID,HORAS_ESTUDO,NOTA_EXAME,TP_ESCOLA,ACESSO_INTERNET,Q006
1,5.7,517.6,Privada,Sim,Q
2,2.6,410.5,Privada,Sim,Q
3,7.9,694.1,Privada,Sim,Q
4,8.8,784.9,Pública,Não,A
5,1.8,235.5,Pública,Sim,A
6,2.7,357.0,Privada,Sim,Q
7,7.3,640.9,Pública,Não,A
8,6.2,641.1,Privada,Sim,Q
9,11.5,906.0,Pública,Sim,A
10,4.6,466.4,Pública,Não,A
11,7.9,706.0,Pública,Sim,A
12,7.2,663.1,Pública,Não,A
13,10.6,829.6,Pública,Não,A
14,5.3,541.2,Pública,Não,A
15,4.3,450.3,Pública,Sim,A
16,11.6,1000.0,Pública,Sim,A
17,6.6,640.0,Pública,Não,A
18,4.1,397.7,Pública,Não,A
19,1.3,215.4,Pública,Sim,A
20,7.7,681.6,Pública,Sim,A
21,10.2,906.6,Pública,Não,A
22,11.8,951.0,Pública,Sim,A
23,11.8,900.5,Privada,Sim,Q
24,6.6,630.6,Pública,Não,A
25,3.4,396.2,Pública,Não,A
26,11.5,936.7,Privada,Sim,Q
27,7.8,696.4,Pública,Não,A
28,3.9,489.5,Pública,Não,A
29,6.7,675.9,Privada,Sim,Q
30,5.1,489.3,Pública,Sim,A
31,10.1,961.8,Pública,Sim,A
32,5.6,598.1,Pública,Sim,A
33,1.6,250.8,Pública,Sim,A
34,5.3,548.1,Pública,Sim,A
35,3.6,407.7,Pública,Não,A
36,4.6,539.2,Pública,Sim,A
37,1.2,225.1,Pública,Não,A
38,9.4,836.9,Privada,Sim,Q
39,4.8,507.3,Pública,Sim,A
40,2.8,377.1,Privada,Sim,Q
41,7.3,724.4,Pública,Sim,A
42,2.1,258.2,Pública,Não,A
43,6.4,574.0,Pública,Não,A
44,9.7,779.4,Pública,Não,A
45,3.2,402.7,Pública,Não,A
46,6.5,561.6,Pública,Sim,A
47,9.5,855.3,Privada,Sim,Q
48,2.3,310.5,Privada,Sim,Q
49,3.0,431.9,Pública,Não,A
50,9.7,802.0,Pública,Sim,A
51,4.8,547.1,Privada,Sim,Q
52,9.2,804.8,Pública,Não,A
53,11.2,1000.0,Pública,Sim,A
54,1.5,230.8,Pública,Não,A
55,1.1,220.9,Pública,Sim,A
56,6.2,595.5,Pública,Sim,A
57,5.8,552.1,Privada,Sim,Q
58,6.1,584.5,Pública,Sim,A
59,1.4,250.5,Pública,Sim,A
60,9.3,714.0,Pública,Não,A
61,3.9,489.7,Privada,Sim,Q
62,6.3,582.2,Pública,Não,A
63,7.9,699.5,Pública,Sim,A
64,11.1,887.1,Pública,Sim,A
65,4.3,450.0,Pública,Não,A
66,6.0,554.3,Privada,Sim,Q
67,8.5,746.9,Pública,Não,A
68,7.8,697.6,Pública,Sim,A
69,8.3,740.9,Privada,Sim,Q
70,2.6,355.5,Pública,Não,A
71,8.6,752.6,Pública,Não,A
72,3.6,504.6,Pública,Sim,A
73,5.4,507.2,Privada,Sim,Q
74,8.7,777.8,Pública,Sim,A
75,5.1,519.9,Pública,Não,A
76,3.3,393.8,Pública,Sim,A
77,5.1,493.2,Pública,Não,A
78,11.0,900.8,Pública,Sim,A
79,6.4,633.0,Pública,Sim,A
80,9.6,835.9,Pública,Não,A
81,6.6,613.6,Privada,Sim,Q
82,11.4,984.8,Pública,Sim,A
83,11.3,995.7,Privada,Sim,Q
84,4.4,468.9,Pública,Sim,A
85,7.8,629.5,Privada,Sim,Q
86,4.8,511.7,Pública,Não,A
87,9.2,824.9,Privada,Sim,Q
88,5.6,510.6,Pública,Sim,A
89,11.2,885.5,Pública,Não,A
90,3.0,357.3,Privada,Sim,Q
91,1.4,245.3,Pública,Sim,A
92,5.8,552.5,Pública,Sim,A
93,10.1,840.6,Pública,Não,A
94,10.8,905.4,Pública,Não,A
95,10.0,773.3,Pública,Sim,A
96,2.3,324.9,Pública,Não,A
97,4.5,481.3,Pública,Não,A
98,1.7,234.7,Pública,Não,A
99,11.1,862.2,Pública,Sim,A
100,3.0,362.3,Privada,Sim,Q
101,2.9,355.5,Pública,Sim,A
102,7.0,689.5,Pública,Sim,A
103,9.5,812.7,Pública,Sim,A
104,7.1,557.0,Pública,Não,A
105,3.9,461.3,Privada,Sim,Q
106,6.4,562.0,Pública,Não,A
107,10.5,877.1,Privada,Sim,Q
108,2.8,348.6,Pública,Não,A
109,1.9,309.8,Pública,Sim,A
110,4.5,453.9,Pública,Sim,A
111,2.5,328.7,Pública,Não,A
112,9.2,825.6,Pública,Não,A
113,1.3,244.6,Pública,Não,A
114,3.6,377.9,Pública,Não,A
115,4.7,485.8,Pública,Sim,A
116,8.1,736.0,Pública,Não,A
117,11.2,937.7,Pública,Sim,A
118,2.4,300.9,Pública,Não,A
119,10.7,908.4,Pública,Sim,A
120,3.1,283.3,Pública,Sim,A
121,7.5,707.8,Privada,Sim,Q
122,5.4,459.4,Pública,Não,A
123,5.6,564.4,Privada,Sim,Q
124,8.3,695.3,Pública,Não,A
125,11.1,921.2,Pública,Sim,A
126,7.7,682.2,Pública,Sim,A
127,6.1,518.4,Pública,Não,A
128,11.2,932.3,Pública,Não,A
129,3.0,315.2,Pública,Sim,A
130,7.8,674.2,Pública,Não,A
131,4.3,454.7,Privada,Sim,Q
132,5.8,597.0,Privada,Sim,Q
133,9.1,776.0,Pública,Sim,A
134,10.8,847.6,Privada,Sim,Q
135,8.5,757.3,Pública,Não,A
136,9.6,881.9,Pública,Sim,A
137,5.4,533.6,Pública,Sim,A
138,6.9,642.7,Privada,Sim,Q
139,6.1,624.6,Pública,Sim,A
140,1.3,255.3,Pública,Sim,A
141,4.7,468.2,Pública,Sim,A
142,4.9,381.2,Pública,Sim,A
143,10.1,852.1,Privada,Sim,Q
144,2.3,294.6,Pública,Sim,A
145,9.6,802.9,Pública,Não,A
146,3.9,457.4,Pública,Não,A
147,9.3,812.2,Privada,Sim,Q
148,9.2,749.1,Pública,Sim,A
149,8.6,805.4,Pública,Sim,A
150,9.1,760.5,Pública,Não,A
151,11.0,929.1,Pública,Sim,A
152,6.2,588.7,Pública,Não,A
153,6.7,699.9,Privada,Sim,Q
154,1.6,219.5,Pública,Sim,A
155,10.3,906.9,Pública,Não,A
156,5.1,533.5,Pública,Não,A
157,10.2,841.3,Pública,Não,A
158,3.1,390.1,Privada,Sim,Q
159,10.1,853.8,Privada,Sim,Q
160,2.4,273.2,Privada,Sim,Q
161,2.8,326.2,Pública,Não,A
162,8.9,794.6,Pública,Sim,A
163,10.7,890.6,Pública,Sim,A
164,8.9,741.0,Pública,Sim,A
165,8.7,739.6,Pública,Não,A
166,9.4,830.5,Privada,Sim,Q
167,3.1,324.4,Pública,Não,A
168,9.1,741.8,Pública,Sim,A
169,3.0,414.2,Pública,Não,A
170,5.2,504.3,Pública,Sim,A
171,3.6,392.9,Pública,Não,A
172,4.6,447.9,Pública,Sim,A
173,9.6,818.1,Privada,Sim,Q
174,9.5,759.7,Privada,Sim,Q
175,9.2,759.3,Privada,Sim,Q
176,1.8,279.4,Pública,Sim,A
177,11.4,888.3,Privada,Sim,Q
178,9.2,787.9,Privada,Sim,Q
179,2.6,346.8,Pública,Não,A
180,7.4,670.7,Pública,Sim,A
181,1.4,283.8,Pública,Não,A
182,7.3,564.7,Pública,Não,A
183,3.2,399.4,Pública,Sim,A
184,4.3,444.8,Pública,Sim,A
185,3.7,404.1,Pública,Não,A
186,6.4,580.2,Pública,Sim,A
187,11.2,909.9,Pública,Não,A
188,9.9,879.5,Privada,Sim,Q
189,5.1,489.1,Privada,Sim,Q
190,10.0,858.9,Pública,Não,A
191,5.7,584.2,Pública,Não,A
192,11.5,953.8,Privada,Sim,Q
193,2.7,349.8,Pública,Sim,A
194,2.9,340.1,Privada,Sim,Q
195,9.5,867.4,Pública,Sim,A
196,3.9,419.4,Pública,Não,A
197,5.5,501.7,Privada,Sim,Q
198,2.8,360.4,Pública,Não,A
199,3.1,353.1,Privada,Sim,Q
200,2.9,398.7,Pública,Sim,A
201,8.3,669.3,Pública,Sim,A
202,1.6,192.0,Pública,Não,A
203,11.9,961.6,Pública,Não,A
204,3.7,551.0,Privada,Sim,Q
205,11.2,917.8,Pública,Sim,A
206,11.3,912.8,Pública,Sim,A
207,5.3,502.3,Pública,Não,A
208,1.6,257.0,Privada,Sim,Q
209,5.7,541.5,Pública,Não,A
210,10.2,850.7,Privada,Sim,Q
211,2.8,289.2,Privada,Sim,Q
212,6.3,530.9,Pública,Não,A
213,10.6,812.7,Pública,Não,A
214,2.2,259.9,Pública,Não,A
215,6.3,542.2,Pública,Não,A
216,7.7,711.3,Pública,Não,A
217,10.1,842.6,Privada,Sim,Q
218,9.4,862.3,Privada,Sim,Q
219,6.4,583.4,Pública,Não,A
220,4.0,448.3,Pública,Sim,A
221,2.1,317.7,Privada,Sim,Q
222,3.1,296.1,Privada,Sim,Q
223,10.0,857.3,Pública,Não,A
224,6.1,579.7,Pública,Não,A
225,11.6,1000.0,Pública,Sim,A
226,3.2,397.1,Privada,Sim,Q
227,11.7,980.3,Privada,Sim,Q
228,2.6,324.2,Pública,Sim,A
229,11.5,1000.0,Pública,Sim,A
230,11.6,914.1,Pública,Não,A
231,8.2,634.9,Pública,Não,A
232,5.4,630.1,Privada,Sim,Q
233,11.6,994.2,Pública,Sim,A
234,6.7,573.9,Pública,Sim,A
235,3.1,373.2,Pública,Não,A
236,1.8,260.6,Pública,Não,A
237,2.2,314.7,Pública,Sim,A
238,6.8,592.5,Pública,Sim,A
239,3.5,334.3,Pública,Sim,A
240,6.3,646.8,Pública,Sim,A
241,8.3,749.6,Pública,Sim,A
