ID,IDADE,NOTA_MATEMATICA,NOTA_REDACAO,ESTADO_CIVIL
1,23,322.0,917.0,Divorciado
2,17,832.0,922.0,Casado
3,17,520.0,901.0,Casado
4,23,511.0,333.0,Casado
5,28,579.0,820.0,Casado
6,18,499.0,509.0,Solteiro
7,22,448.0,765.0,Casado
8,19,624.0,585.0,Divorciado
9,17,721.0,301.0,Casado
10,61,787.0,702.0,Casado
11,35,356.0,633.0,Solteiro
12,23,481.0,933.0,Solteiro
13,16,459.0,707.0,Solteiro
14,56,685.0,396.0,Divorciado
15,21,358.0,540.0,Solteiro
16,21,398.0,441.0,Casado
17,21,430.0,776.0,Divorciado
18,18,413.0,341.0,Divorciado
19,21,540.0,904.0,Divorciado
20,19,626.0,617.0,Solteiro
21,43,467.0,333.0,Solteiro
22,20,610.0,947.0,Divorciado
23,19,649.0,431.0,Divorciado
24,21,816.0,705.0,Divorciado
25,43,778.0,726.0,Solteiro
26,23,400.0,340.0,Casado
27,21,914.0,387.0,Solteiro
28,17,685.0,802.0,Divorciado
29,16,390.0,666.0,Solteiro
30,20,578.0,626.0,Solteiro
31,20,860.0,581.0,Divorciado
32,51,564.0,391.0,Casado
33,26,731.0,462.0,Solteiro
34,18,905.0,495.0,Solteiro
35,20,529.0,375.0,Casado
36,17,352.0,622.0,Casado
37,17,455.0,453.0,Divorciado
38,19,422.0,438.0,Divorciado
39,51,855.0,420.0,Divorciado
40,21,413.0,680.0,Casado
41,18,792.0,539.0,Solteiro
42,19,426.0,802.0,Solteiro
43,23,862.0,936.0,Divorciado
44,42,610.0,769.0,Casado
45,17,653.0,731.0,Solteiro
46,19,311.0,844.0,Divorciado
47,19,702.0,672.0,Casado
48,19,583.0,695.0,Divorciado
49,44,718.0,895.0,Casado
50,20,346.0,890.0,Divorciado
51,22,345.0,305.0,Divorciado
52,21,495.0,309.0,Solteiro
53,17,370.0,363.0,Solteiro
54,21,914.0,701.0,Divorciado
55,21,937.0,650.0,Casado
56,18,391.0,763.0,Solteiro
